Property_Type,Location,Price,Price_Currency,Total_Area_m2,Covered_Area_m2,Room_number,Bathroom_number,Expenses,Expenses_Currency
Departamento,"Terrazas De Ayres, Pilar, Buenos Aires",215000,USD,85.24,71.8, 3, 2,19500,ARS
Departamento,"Villa Devoto, Capital Federal",525000,USD,155.46,133.46, 4, 2,13500,ARS
Departamento,"Belgrano, Capital Federal",199000,USD,121,112, 4, 2,32000,ARS
Departamento,"Entre Boulevares, Santa Fe, Santa Fe Capital, Santa Fe",95000,USD,58,52, 2, 1,7000,ARS
Departamento,"Almagro, Capital Federal",98000,USD,54.2,47.76, 3, 1,N/A,N/A
Departamento,"Floresta, Capital Federal",139000,USD,108,100, 4, 1,6200,ARS
Departamento,"Villa Luro, Capital Federal",134900,USD,106,97, 4, 2,6400,ARS
Departamento,"Caballito, Capital Federal",209165,USD,106.58,96.41, 4, 1,35000,ARS
Departamento,"La Plata, La Plata, Buenos Aires",58000,USD,47.8,39.9, 2, 1,4000,ARS
Departamento,"San Telmo, Capital Federal",94000,USD,76,67, 3, 1,17000,ARS
Departamento,"Chacarita, Capital Federal",56000,USD,42,42, 2, 1,N/A,N/A
Departamento,Zona,56000,USD,44,40, 3, 1,1,USD
Departamento,"Olivos, Vicente Lopez, Buenos Aires",255000,USD,152.37,137.78, 4, 3,51000,ARS
Departamento,"Villa Santa Rita, Capital Federal",59900,USD,35,31, 2, 1,8600,ARS
Departamento,"Caseros, Tres De Febrero, Buenos Aires",60500,USD,41.31,36, 2, 1,1300,ARS
Departamento,"Balvanera, Capital Federal",100000,USD,66.35,65, 3, 1,48,ARS
Departamento,"Santos Lugares, Tres De Febrero, Buenos Aires",50000,USD,30,25.92, 1, 1,1,ARS
Departamento,"San Isidro, San Isidro, Buenos Aires",135000,USD,73,66, 2, 1,5500,ARS
Departamento,"Pinamar, Pinamar, Buenos Aires",150000,USD,83,60, 3, 2,7000,ARS
Departamento,San,65500,USD,38.46,38.46, 2, 1,6000,USD
Departamento,"Norte, Pinamar, Pinamar, Buenos Aires",319200,USD,210,85, 3, 2,N/A,N/A
Departamento,"Monte Castro, Capital Federal",130000,USD,79,70, 3, 1,12000,ARS
Departamento,"Villa Santa Rita, Capital Federal",105000,USD,49,45, 2, 1,14000,ARS
Departamento,"Moreno, Moreno, Buenos Aires",69800,USD,88.34,71.28, 3, 1,N/A,N/A
Departamento,"Merlo, Merlo, Buenos Aires",65000,USD,55,42.5, 2, 1,N/A,N/A
Departamento,,55000,USD,38.86,36.23, 2, 1,10000,ARS
Departamento,"El Once, Villa La Angostura, Los Lagos,",105000,USD,81,81, 3, 1,1500,ARS
Departamento,San,72000,USD,33.55,33.55, 2, 1,12000,USD
Departamento,"Villa Devoto, Capital Federal",169000,USD,85.17,74.98, 3, 1,29000,ARS
Departamento,"Flores, Capital Federal",109901,USD,78.4,52, 2, 1,7000,ARS
Departamento,"Flores, Capital Federal",109900,USD,78.4,52, 2, 1,7000,ARS
Departamento,"Villa Urquiza, Capital Federal",140000,USD,65,55, 3, 1,4200,ARS
Departamento,"Villa Urquiza, Capital Federal",130000,USD,113.33,54.16, 3, 1,7200,ARS
Departamento,"Castelar, Moron, Buenos Aires",151000,USD,77.2,77.2, 3, 1,N/A,N/A
Departamento,"Cofico, Cordoba, Capital,",150000,USD,139,124, 4, 2,15000,USD
Departamento,"Villa Urquiza, Capital Federal",225000,USD,75.61,71.28, 3, 2,11000,ARS
Departamento,"La Plata, La Plata, Buenos Aires",44000,USD,31.68,31.68, 1, 1,5000,USD
Departamento,"Villa Crespo, Capital Federal",158000,USD,98.16,84.59, 4, 2,24000,ARS
Departamento,"Flores, Capital Federal",74900,USD,50.77,50.77, 2, 1,6600,ARS
Departamento,"Balvanera, Capital Federal",59000,USD,59.2,53.4, 2, 1,500,ARS
Departamento,Capital Federal,69000,USD,47,40, 2, 1,14000,ARS
Departamento,"Pilar, Pilar, Buenos Aires",67500,USD,125,56, 2, 1,N/A,N/A
Departamento,"La Plata, La Plata, Buenos Aires",54000,USD,58,50.2, 2, 1,N/A,N/A
Departamento,"Centro, Cordoba, Capital,",110000,USD,122,110, 6, 3,20000,ARS
Departamento,"Belgrano, Capital Federal",150000,USD,174.62,90.45, 3, 1,33000,USD
Departamento,"Villa Urquiza, Capital Federal",179900,USD,80.09,80.09, 3, 2,N/A,N/A
Departamento,"Palermo, Capital Federal",320000,USD,123,120, 5, 2,60000,ARS
Departamento,San,58000,USD,38,38, 2, 1,15000,USD
Departamento,"San Miguel, San Miguel, Buenos Aires",35000,USD,40,37, 2, 1,N/A,N/A
Departamento,"Almagro, Capital Federal",69000,USD,38.49,37.23, 2, 1,9000,ARS
Departamento,"San Miguel, San Miguel, Buenos Aires",51500,USD,57,54, 3, 1,N/A,N/A
Departamento,"Lomas De Zamora, Lomas De Zamora, Buenos Aires",89000,USD,82,82, 4, 1,10000,USD
Departamento,"General Paz, Cordoba, Capital,",72000,USD,68,62, 3, 2,6000,USD
Departamento,"Vicente Lopez, Vicente Lopez, Buenos Aires",73000,USD,41.58,38.43, 2, 1,1200,ARS
Departamento,"San Miguel, San Miguel, Buenos Aires",65000,USD,91,91, 4, 1,N/A,N/A
Departamento,"Villa Ballester, General San Martin, Buenos Aires",55000,USD,34,31, 1, 1,7000,USD
Departamento,"Moron, Moron, Buenos Aires",39990,USD,36.8,34.5, 2, 1,4200,ARS
Departamento,"Palermo, Capital Federal",59000,USD,27.28,27.28, 1, 1,6400,ARS
Departamento,"Neuquen, Confluencia,",100000,USD,71,62, 3, 1,N/A,N/A
Departamento,"Neuquen, Confluencia,",163500,USD,111,100, 3, 2,N/A,N/A
Departamento,"Belgrano, Capital Federal",155000,USD,69.59,64.12, 4, 1,13300,ARS
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",65000,USD,80,70, 3, 1,N/A,N/A
Departamento,San,99000,USD,50.26,43, 2, 1,N/A,N/A
Departamento,"Belgrano, Capital Federal",220000,USD,119.07,101.97, 3, 2,N/A,N/A
Departamento,"Villa Urquiza, Capital Federal",62800,USD,34,30, 1, 1,N/A,N/A
Departamento,"Neuquen, Confluencia,",90000,USD,56.53,52.99, 3, 1,11600,ARS
Departamento,"Villa Urquiza, Capital Federal",62800,USD,34,30, 1, 1,N/A,N/A
Departamento,"Cordoba, Capital,",36500,USD,44,44, 3, 1,5000,ARS
Departamento,"Palermo, Capital Federal",100000,USD,34,33, 1, 1,N/A,N/A
Departamento,"La Plata, La Plata, Buenos Aires",64000,USD,42,42, 3, 1,N/A,N/A
Departamento,"La Plata, La Plata, Buenos Aires",120000,USD,71,65, 4, 1,4500,ARS
Departamento,,60000,USD,75,69, 4, 1,600,ARS
Departamento,"Chacras De Coria, Lujan De Cuyo, Mendoza",149800,USD,129,80, 3, 2,N/A,N/A
Departamento,"Chacras De Coria, Lujan De Cuyo, Mendoza",68000,USD,89,56, 2, 1,N/A,N/A
Departamento,"Neuquen, Confluencia,",180000,USD,100.25,89, 3, 2,25000,ARS
Departamento,San,88000,USD,54.8,50.8, 3, 1,8000,USD
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",15000,USD,61,61, 3, 1,N/A,N/A
Departamento,"Florida, Vicente Lopez, Buenos Aires",95000,USD,42.24,38.41, 2, 1,5000,ARS
Departamento,"Neuquen, Confluencia,",58344903,ARS,70.6,65.3, 3, 1,N/A,N/A
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",17000,USD,69,69, 4, 1,N/A,N/A
Departamento,"Neuquen, Confluencia,",41252831,ARS,52.7,45.9, 2, 1,N/A,N/A
Departamento,"Villa Santos Tesei, Hurlingham, Buenos Aires",60000,USD,65.78,65.78, 4, 1,15000,ARS
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",28000,USD,30,28, 1, 1,N/A,N/A
Departamento,"Villa Crespo, Capital Federal",65000,USD,37,34, 2, 1,9500,ARS
Departamento,"Parque Avellaneda, Capital Federal",62000,USD,71.3,32.3, 1, 1,N/A,N/A
Departamento,"Parque Avellaneda, Capital Federal",55800,USD,36,30, 1, 1,N/A,N/A
Departamento,"Villa Urquiza, Capital Federal",135000,USD,50.5,46, 2, 1,N/A,N/A
Departamento,"Moron, Moron, Buenos Aires",105000,USD,68.08,54.86, 3, 1,4600,ARS
Departamento,"Recoleta, Capital Federal",300000,USD,158.35,133.85, 7, 3,28000,ARS
Departamento,"Pilar, Pilar, Buenos Aires",131600,USD,82.25,74.06, 3, 1,N/A,N/A
Departamento,"Aston Village, Pilar, Buenos Aires",99000,USD,49,40, 2, 1,N/A,N/A
Departamento,"Exaltacion De La Cruz, Exaltacion De La Cruz, Buenos Aires",185000,USD,301.3,180, 6, 2,N/A,N/A
Departamento,"Remedios De Escalada, Lanus, Buenos Aires",100000,USD,62.4,51.5, 2, 1,3000,ARS
Departamento,"La Perla Norte, Mar Del Plata, General Pueyrredon, Buenos Aires",75000,USD,53,52, 3, 1,5800,ARS
Departamento,"Stella Maris, Mar Del Plata, General Pueyrredon, Buenos Aires",42000,USD,34,31, 1, 1,6000,ARS
Departamento,"Stella Maris, Mar Del Plata, General Pueyrredon, Buenos Aires",135000,USD,66,58, 3, 2,14000,ARS
